timestamp,parameter,value_hrf
2019-02-04 16:55:00,so2,4.701136521739131
2019-02-04 17:00:00,so2,3.477049387755103
2019-02-04 17:05:00,so2,0.4504951351351353
2019-02-04 17:10:00,so2,0.39255882352941185
2019-02-04 17:15:00,so2,0.4114605555555555
2019-02-04 17:20:00,so2,0.3678553488372092
2019-02-04 17:25:00,so2,0.34898049999999997
2019-02-04 17:30:00,so2,0.47641249999999985
2019-02-04 17:35:00,so2,2.0292995121951223
2019-02-04 17:40:00,so2,0.4292795238095239
2019-02-04 17:45:00,so2,0.4920532432432432
2019-02-04 17:50:00,so2,0.45921097560975604
2019-02-04 17:55:00,so2,0.5558082051282051
2019-02-04 18:00:00,so2,0.3966297619047621
2019-02-04 18:05:00,so2,0.4755883720930233
2019-02-04 18:10:00,so2,0.49137341463414635
2019-02-04 18:15:00,so2,0.45623891304347813
2019-02-04 18:20:00,so2,0.3875853333333333
2019-02-04 18:25:00,so2,0.5286230555555558
2019-02-04 18:30:00,so2,0.6128103125
2019-02-04 18:35:00,so2,0.4619786206896551
2019-02-04 18:40:00,so2,0.5145002564102565
2019-02-04 18:45:00,so2,0.459883409090909
2019-02-04 18:50:00,so2,0.4692656818181819
2019-02-04 18:55:00,so2,0.3982323076923076
2019-02-04 19:00:00,so2,0.43495204081632655
2019-02-04 19:05:00,so2,0.6665440000000001
2019-02-04 19:10:00,so2,0.48686843750000003
2019-02-04 19:15:00,so2,0.47915560975609756
2019-02-04 19:20:00,so2,0.6055489473684211
2019-02-04 19:25:00,so2,0.548730975609756
2019-02-04 19:30:00,so2,0.6300876315789475
2019-02-04 19:35:00,so2,0.6052344680851063
2019-02-04 19:40:00,so2,0.6975567500000002
2019-02-04 19:45:00,so2,5.02771810810811
2019-02-04 19:50:00,so2,2.940207894736842
2019-02-04 19:55:00,so2,4.1717
2019-02-04 20:00:00,so2,1.3306797222222222
2019-02-04 20:05:00,so2,3.6002589743589746
2019-02-04 20:10:00,so2,3.84190037735849
2019-02-04 20:15:00,so2,3.266042222222222
2019-02-04 20:20:00,so2,2.9288366666666668
2019-02-04 20:25:00,so2,2.066079615384616
2019-02-04 20:30:00,so2,1.3985877358490564
2019-02-04 20:35:00,so2,1.0623789130434782
2019-02-04 20:40:00,so2,0.6413387179487179
2019-02-04 20:45:00,so2,0.6184033333333334
2019-02-04 20:50:00,so2,0.5339757575757577
2019-02-04 20:55:00,so2,0.4693004878048781
2019-02-04 21:00:00,so2,0.5408408333333333
2019-02-04 21:05:00,so2,0.49772090909090905
2019-02-04 21:10:00,so2,0.4289585365853659
2019-02-04 21:15:00,so2,0.46641058823529413
2019-02-04 21:20:00,so2,0.4829610344827586
2019-02-04 21:25:00,so2,0.3227752777777778
2019-02-04 21:30:00,so2,0.4027144117647059
2019-02-04 21:35:00,so2,0.42352612903225806
2019-02-04 21:40:00,so2,0.3381817647058822
2019-02-04 21:45:00,so2,0.2088514705882353
2019-02-04 21:50:00,so2,0.27826028571428574
2019-02-04 21:55:00,so2,0.31866843749999996
2019-02-04 22:00:00,so2,0.34557324324324323
2019-02-04 22:05:00,so2,0.43022799999999994
2019-02-04 22:10:00,so2,0.5099846153846154
2019-02-04 22:15:00,so2,2.3096422500000005
2019-02-04 22:20:00,so2,0.5142503703703705
2019-02-04 22:25:00,so2,0.28909529411764706
2019-02-04 22:30:00,so2,0.6121854545454546
2019-02-04 22:35:00,so2,0.3595506896551724
2019-02-04 22:40:00,so2,0.4376131818181818
2019-02-04 22:45:00,so2,0.3795559090909091
2019-02-04 22:50:00,so2,0.3865125925925927
2019-02-04 22:55:00,so2,0.3552671428571429
2019-02-04 23:00:00,so2,0.3222035135135135
2019-02-04 23:05:00,so2,0.40834600000000004
2019-02-04 23:10:00,so2,0.3882899999999999
2019-02-04 23:15:00,so2,0.3080569999999999
2019-02-04 23:20:00,so2,0.3476357575757576
2019-02-04 23:25:00,so2,0.32195514285714283
2019-02-04 23:30:00,so2,0.20481606060606056
2019-02-04 23:35:00,so2,0.3906678787878788
2019-02-04 23:40:00,so2,0.22156360000000003
2019-02-04 23:45:00,so2,0.2238661904761904
2019-02-04 23:50:00,so2,0.2565560606060607
2019-02-04 23:55:00,so2,0.30653761904761906
2019-02-05 00:00:00,so2,0.266865945945946
2019-02-05 00:05:00,so2,0.23608270270270268
2019-02-05 00:10:00,so2,0.2000287179487179
2019-02-05 00:15:00,so2,0.2561292592592593
2019-02-05 00:20:00,so2,0.27423279999999994
2019-02-05 00:25:00,so2,0.3098938636363637
2019-02-05 00:30:00,so2,0.1783106666666667
2019-02-05 00:35:00,so2,0.20842470588235296
2019-02-05 00:40:00,so2,0.2141585714285715
2019-02-05 00:45:00,so2,0.29329057142857134
2019-02-05 00:50:00,so2,0.2443797872340426
2019-02-05 00:55:00,so2,0.18234473684210528
2019-02-05 01:00:00,so2,0.19902115384615388
2019-02-05 01:05:00,so2,0.291144
2019-02-05 01:10:00,so2,0.22631399999999996
2019-02-05 01:15:00,so2,0.22617947368421054
2019-02-05 01:20:00,so2,0.25480428571428565
2019-02-05 01:25:00,so2,0.29548833333333324
2019-02-05 01:30:00,so2,0.26590777777777785
2019-02-05 01:35:00,so2,0.43523449999999997
2019-02-05 01:40:00,so2,0.3999293333333333
2019-02-05 01:45:00,so2,0.4955357446808512
2019-02-05 01:50:00,so2,0.8914989743589745
2019-02-05 01:55:00,so2,0.7994153703703702
2019-02-05 02:00:00,so2,0.910431320754717
2019-02-05 02:05:00,so2,1.1622434146341463
